247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
-824254 -648164
-686688 -792445
-524324 -908072
-342989 -990893
-149257 -1037898
49869 -1047388
247168 -1019028
435560 -953833
608208 -854161
758873 -723617
882094 -566939
973449 -389750
1029620 -198475
1048575   -24
1029634 198400
973478 389680
882135 566875
758908 723580
608249 854132
435629 953801
247243 1019010
49919 1047386
-149206 1037906
-342917 990918
-524258 908110
-686650 792479
-824223 648203
-931993 480520
-1006091 295450
-1043825 99701
-1043830 -99651
-1006113 -295378
-932027 -480453
